Count,Timestamp,IMU,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,QuatX,QuatY,QuatZ,QuatW,DeviceName
4285,00:00:20,IMU6,-0.01,0.01,-0.00,0.77,-0.38,9.50,11.94,14.19,-21.94,-0.00,-0.04,0.41,0.91,Left_Leg
4286,00:00:20,IMU4,0.00,0.00,0.00,3.26,0.29,8.98,17.88,3.31,-35.12,0.12,-0.13,0.62,0.76,Left_Leg
4286,00:00:20,IMU5,0.00,0.00,0.00,-0.30,-5.67,8.08,14.12,7.56,-29.44,-0.13,-0.27,0.88,0.37,Left_Leg
4286,00:00:20,IMU6,-0.01,0.01,-0.00,0.77,-0.38,9.50,11.94,14.19,-21.94,-0.00,-0.04,0.41,0.91,Left_Leg
4287,00:00:20,IMU4,0.00,0.00,0.00,3.26,0.29,8.98,17.12,2.94,-34.31,0.12,-0.13,0.62,0.76,Left_Leg
4287,00:00:20,IMU5,0.00,0.00,0.00,-0.30,-5.67,8.08,14.12,7.56,-29.44,-0.13,-0.27,0.88,0.37,Left_Leg
4287,00:00:20,IMU6,-0.00,-0.00,0.00,0.77,-0.38,9.50,11.94,14.19,-21.94,-0.00,-0.04,0.41,0.91,Left_Leg
4288,00:00:20,IMU4,0.00,0.00,0.00,3.26,0.29,8.98,17.12,2.94,-34.31,0.12,-0.13,0.62,0.76,Left_Leg
4288,00:00:20,IMU5,0.00,0.00,0.00,-0.27,-5.59,8.01,14.12,7.56,-29.44,-0.13,-0.27,0.88,0.37,Left_Leg
4288,00:00:20,IMU6,-0.00,-0.00,0.00,0.77,-0.38,9.50,11.94,14.19,-21.94,-0.00,-0.04,0.41,0.91,Left_Leg
4289,00:00:20,IMU4,0.00,0.00,0.00,3.26,0.29,8.98,17.12,2.94,-34.31,0.12,-0.13,0.62,0.76,Left_Leg
4289,00:00:20,IMU5,0.00,0.00,0.00,-0.27,-5.59,8.01,12.69,7.25,-29.81,-0.13,-0.27,0.88,0.37,Left_Leg
4289,00:00:20,IMU6,0.00,0.00,0.00,0.77,-0.38,9.50,11.94,14.19,-21.94,-0.00,-0.04,0.41,0.91,Left_Leg
4290,00:00:20,IMU4,0.00,0.00,0.00,3.26,0.29,8.98,17.12,2.94,-34.31,0.12,-0.13,0.62,0.76,Left_Leg
4290,00:00:20,IMU5,0.00,0.00,0.00,-0.27,-5.59,8.01,12.69,7.25,-29.81,-0.13,-0.27,0.88,0.37,Left_Leg
4290,00:00:20,IMU6,0.00,0.00,0.00,0.77,-0.38,9.50,11.94,14.19,-21.94,-0.00,-0.04,0.41,0.91,Left_Leg
